Word,Count
*,1416
the,441
,378
@see,147
(non-Javadoc),143
@param,128
and,93
a,87
to,82
{@link,79
for,69
of,67
given,65
@return,65
Returns,60
TODO,57
is,55
this,49
has,45
if,45
line,44
function,41
The,41
command,37
which,37
file,31
process,30
be,29
{,28
read,27
at,26
forth,25
image,25
},25
stack,25
method,24
all,24
available,24
shared,23
instance,23
with,23
from,22
been,22
Forth,21
Auto-generated,20
frame,20
******************************************************************************,20
name,20
implementation,20
are,20
initial,20
result,19
debug,19
-,19
breakpoint,19
in,19
API,19
Corporation,18
IBM,18
or,18
This,17
path,17
debugger,16
reader,16
plug-in,16
Image},15
current,15
that,15
project,15
set,15
stub,14
thread,14
not,14
ID,14
catch,14
output,14
class,14
source,14
until,13
an,13
$NON-NLS-1$,13
Sends,13
number,13
after,13
program,13
launch,12
address,12
on,12
@throws,12
can,12
will,12
wait,12
when,11
used,11
by,11
base,11
event,11
target,10
associated,10
License,10
//////////////////////////////////////////////////////////////////////////,10
Copyright,10
reserved,10
under,10
All,10
v1.0,10
no,10
Public,10
=,10
made,10
terms,10
accompanies,10
(c),10
rights,10
Common,10
its,10
implement,10
Contributors:,10
\distribution,\,10
accompanying,10
materials,10
http://www.eclipse.org/legal/cpl-v10.html,9
Freeman-Benson,9
input,9
others,9
lines,9
block,9
constructor,9
was,9
controls,9
new,9
Bjorn,9
font,9
returns,9
2004,9
stream,9
decorated,8
style,8
get,8
currently,8
umbilical,8
life,8
activator,8
try,8
as,8
ignore,8
next,8
matching,8
out,8
it,8
called,8
value,8
breakpoints,8
detail,8
data,8
cycle,8
files,8
necessary,7
Font},7
specified,7
decorator,7
<code>null</code>,7
org.eclipse.ui.plugin.AbstractUIPlugin#start(org.osgi.framework.BundleContext),7
commands,7
org.eclipse.ui.plugin.AbstractUIPlugin#stop(org.osgi.framework.BundleContext),7
returned,7
Maps,7
org.eclipse.jface.viewers.ISelection),7
we,7
callback,7
gforth,7
specific,7
cached,7
//,6
Notification,6
DebugException,6
Create,6
Awaits,6
code,6
e1),6
bufferedWriter.flush();,6
Adds,6
none,6
bufferedWriter.newLine();,6
there,6
(InterruptedException,6
values,6
variable,6
immediately,6
Callback,6
e1.printStackTrace();,6
corner,6
lookup,6
Fires,6
Thread.sleep(5000);,6
Color},6
PDA,6
their,6
system,6
dialog,6
If,6
should,6
have,6
Constructs,6
default,5
waitFor,5
executable,5
OS,5
Creates,5
bold,5
empty,5
do,5
found,5
remove,5
return,5
being,5
update,5
element,5
MCore,5
create,5
preference,5
Dispose,5
images,5
blocks,5
time,5
height,5
loaded,5
object,5
component,5
check,5
here,5
WaitFor},5
communication,5
color,5
#jump()}ing,4
listener,4
like,4
stored,4
null),4
last,4
Process},4
needed,4
make,4
Sets,4
A,4
forthSource,4
valid,4
objects,4
based,4
must,4
request,4
nothing,4
done,4
fonts,4
queue,4
expected,4
waiting,4
await,4
Style,4
parent,4
\name,\,4
placing,4
CoreException,4
+,4
constant,4
while,4
just,4
port,4
<code>true</code>,4
:,4
old,4
right,4
resources,4
dump,4
hit,4
enabled,4
Call,4
complete,4
already,4
strikeout,4
underline,4
reason,4
timed,4
clear,4
loader,4
lineNumber,4
launched,3
separator,3
USB,3
id,3
into,3
Thread,3
environment,3
memory,3
longer,3
closes,3
org.eclipse.debug.core.model.ITerminate#terminate(),3
org.eclipse.debug.core.model.ISuspendResume#isSuspended(),3
step,3
before,3
index,3
page,3
\file,\,3
!=,3
everything,3
convert,3
able,3
