Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,86,8972,5154,3704,575,1548,18,2270,7435,109,620
C:\Users\Benjamin\git\ch.fhnw.mdt,86,8972,5154,3704,575,1548,18,2270,7435,109,620
C:\Users\Benjamin\git\ch.fhnw.mdt\ProcessTest,6,876,519,414,35,161,1,196,647,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\ProcessTest\src,6,876,519,414,35,161,1,196,647,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\ProcessTest\src\ch,6,876,519,414,35,161,1,196,647,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\ProcessTest\src\ch\fhnw,6,876,519,414,35,161,1,196,647,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\ProcessTest\src\ch\fhnw\processtest,6,876,519,414,35,161,1,196,647,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\ch.fhnw.mdt.build,9,513,318,249,32,113,2,82,264,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\ch.fhnw.mdt.build\src,9,513,318,249,32,113,2,82,264,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\ch.fhnw.mdt.build\src\ch,9,513,318,249,32,113,2,82,264,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\ch.fhnw.mdt.build\src\ch\fhnw,9,513,318,249,32,113,2,82,264,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\ch.fhnw.mdt.build\src\ch\fhnw\mdt,9,513,318,249,32,113,2,82,264,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\ch.fhnw.mdt.build\src\ch\fhnw\mdt\build,9,513,318,249,32,113,2,82,264,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\ch.fhnw.mdt.build\src\ch\fhnw\mdt\build\errorparser,2,65,44,36,4,19,0,2,22,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\ch.fhnw.mdt.build\src\ch\fhnw\mdt\build\nature,3,234,151,125,14,48,1,35,106,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\ch.fhnw.mdt.debugger,12,1129,814,478,119,278,1,37,115,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\ch.fhnw.mdt.debugger\src,12,1129,814,478,119,278,1,37,115,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\ch.fhnw.mdt.debugger\src\ch,12,1129,814,478,119,278,1,37,115,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\ch.fhnw.mdt.debugger\src\ch\fhnw,12,1129,814,478,119,278,1,37,115,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\ch.fhnw.mdt.debugger\src\ch\fhnw\mdt,12,1129,814,478,119,278,1,37,115,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\ch.fhnw.mdt.debugger\src\ch\fhnw\mdt\debugger,12,1129,814,478,119,278,1,37,115,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\ch.fhnw.mdt.debugger\src\ch\fhnw\mdt\debugger\lcc,11,1076,794,463,118,266,0,16,67,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\ch.fhnw.mdt.debugger\src\ch\fhnw\mdt\debugger\lcc\events,2,86,61,43,6,25,0,0,0,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\ch.fhnw.mdt.forthdebugger,23,3480,1711,1199,194,517,4,1252,3966,77,441
C:\Users\Benjamin\git\ch.fhnw.mdt\ch.fhnw.mdt.forthdebugger.test,2,89,66,46,3,20,0,3,20,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\ch.fhnw.mdt.forthdebugger.test\test,2,89,66,46,3,20,0,3,20,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\ch.fhnw.mdt.forthdebugger.test\test\ch,2,89,66,46,3,20,0,3,20,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\ch.fhnw.mdt.forthdebugger.test\test\ch\fhnw,2,89,66,46,3,20,0,3,20,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\ch.fhnw.mdt.forthdebugger.test\test\ch\fhnw\mdt,2,89,66,46,3,20,0,3,20,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\ch.fhnw.mdt.forthdebugger.test\test\ch\fhnw\mdt\forthdebugger,2,89,66,46,3,20,0,3,20,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\ch.fhnw.mdt.forthdebugger.test\test\ch\fhnw\mdt\forthdebugger\test,2,89,66,46,3,20,0,3,20,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\ch.fhnw.mdt.forthdebugger.ui,18,980,614,425,85,184,1,182,471,22,126
C:\Users\Benjamin\git\ch.fhnw.mdt\ch.fhnw.mdt.forthdebugger.ui\src,18,980,614,425,85,184,1,182,471,22,126
C:\Users\Benjamin\git\ch.fhnw.mdt\ch.fhnw.mdt.forthdebugger.ui\src\ch,18,980,614,425,85,184,1,182,471,22,126
C:\Users\Benjamin\git\ch.fhnw.mdt\ch.fhnw.mdt.forthdebugger.ui\src\ch\fhnw,18,980,614,425,85,184,1,182,471,22,126
C:\Users\Benjamin\git\ch.fhnw.mdt\ch.fhnw.mdt.forthdebugger.ui\src\ch\fhnw\mdt,18,980,614,425,85,184,1,182,471,22,126
C:\Users\Benjamin\git\ch.fhnw.mdt\ch.fhnw.mdt.forthdebugger.ui\src\ch\fhnw\mdt\forthdebugger,18,980,614,425,85,184,1,182,471,22,126
C:\Users\Benjamin\git\ch.fhnw.mdt\ch.fhnw.mdt.forthdebugger.ui\src\ch\fhnw\mdt\forthdebugger\ui,18,980,614,425,85,184,1,182,471,22,126
C:\Users\Benjamin\git\ch.fhnw.mdt\ch.fhnw.mdt.forthdebugger.ui\src\ch\fhnw\mdt\forthdebugger\ui\adapters,1,38,29,21,5,9,0,0,0,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\ch.fhnw.mdt.forthdebugger.ui\src\ch\fhnw\mdt\forthdebugger\ui\breakpoints,2,195,105,75,19,23,0,67,218,11,63
C:\Users\Benjamin\git\ch.fhnw.mdt\ch.fhnw.mdt.forthdebugger.ui\src\ch\fhnw\mdt\forthdebugger\ui\commands,10,235,167,103,22,68,0,0,0,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\ch.fhnw.mdt.forthdebugger.ui\src\ch\fhnw\mdt\forthdebugger\ui\commands\after,5,117,83,51,11,34,0,0,0,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\ch.fhnw.mdt.forthdebugger.ui\src\ch\fhnw\mdt\forthdebugger\ui\commands\jump,5,118,84,52,11,34,0,0,0,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\ch.fhnw.mdt.forthdebugger.ui\src\ch\fhnw\mdt\forthdebugger\ui\memoryrendering,2,157,116,80,12,36,0,5,13,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\ch.fhnw.mdt.forthdebugger\src,23,3480,1711,1199,194,517,4,1252,3966,77,441
C:\Users\Benjamin\git\ch.fhnw.mdt\ch.fhnw.mdt.forthdebugger\src\ch,23,3480,1711,1199,194,517,4,1252,3966,77,441
C:\Users\Benjamin\git\ch.fhnw.mdt\ch.fhnw.mdt.forthdebugger\src\ch\fhnw,23,3480,1711,1199,194,517,4,1252,3966,77,441
C:\Users\Benjamin\git\ch.fhnw.mdt\ch.fhnw.mdt.forthdebugger\src\ch\fhnw\mdt,23,3480,1711,1199,194,517,4,1252,3966,77,441
C:\Users\Benjamin\git\ch.fhnw.mdt\ch.fhnw.mdt.forthdebugger\src\ch\fhnw\mdt\forthdebugger,23,3480,1711,1199,194,517,4,1252,3966,77,441
C:\Users\Benjamin\git\ch.fhnw.mdt\ch.fhnw.mdt.forthdebugger\src\ch\fhnw\mdt\forthdebugger\communication,3,829,458,335,36,135,0,236,879,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\ch.fhnw.mdt.forthdebugger\src\ch\fhnw\mdt\forthdebugger\communication\process,2,62,29,20,2,15,0,18,50,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\ch.fhnw.mdt.forthdebugger\src\ch\fhnw\mdt\forthdebugger\debugmodel,12,2314,1087,747,138,317,3,910,2648,55,315
C:\Users\Benjamin\git\ch.fhnw.mdt\ch.fhnw.mdt.forthdebugger\src\ch\fhnw\mdt\forthdebugger\debugmodel\extensions,3,75,25,20,0,15,0,35,136,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\ch.fhnw.mdt.forthdebugger\src\ch\fhnw\mdt\forthdebugger\sourcelookup,3,112,39,30,5,11,0,62,283,22,126
C:\Users\Benjamin\git\ch.fhnw.mdt\ch.fhnw.mdt.forthdebugger\src\ch\fhnw\mdt\forthdebugger\util,2,82,49,37,9,17,0,16,79,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\ch.fhnw.mdt.launch,5,792,511,421,35,148,1,133,481,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\ch.fhnw.mdt.launch\src,5,792,511,421,35,148,1,133,481,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\ch.fhnw.mdt.launch\src\ch,5,792,511,421,35,148,1,133,481,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\ch.fhnw.mdt.launch\src\ch\fhnw,5,792,511,421,35,148,1,133,481,0,0
